##############################################################
#This file is generated from NEF dictionary from Github
# NEF github commit d4c8fac3641f3f7993e75cfe6067540e8df4cd30
# Generated date Dec 20, 2017
# This is used to validate NEF file
# Author : Kumaran Baskaran(BMRB)
##############################################################
# 10-Mar-2020  M. Yokochi - add support for _audit loop in NEF (DAOTHER-6327)
#Saveframe categories
_nef_dihedral_restraint_list.potential_type,yes
_nef_dihedral_restraint_list.restraint_origin,no
_nef_dihedral_restraint.index,yes
_nef_dihedral_restraint.restraint_id,yes
_nef_dihedral_restraint.restraint_combination_id,no
_nef_dihedral_restraint.chain_code_1,yes
_nef_dihedral_restraint.sequence_code_1,yes
_nef_dihedral_restraint.residue_name_1,yes
_nef_dihedral_restraint.atom_name_1,yes
_nef_dihedral_restraint.chain_code_2,yes
_nef_dihedral_restraint.sequence_code_2,yes
_nef_dihedral_restraint.residue_name_2,yes
_nef_dihedral_restraint.atom_name_2,yes
_nef_dihedral_restraint.chain_code_3,yes
_nef_dihedral_restraint.sequence_code_3,yes
_nef_dihedral_restraint.residue_name_3,yes
_nef_dihedral_restraint.atom_name_3,yes
_nef_dihedral_restraint.chain_code_4,yes
_nef_dihedral_restraint.sequence_code_4,yes
_nef_dihedral_restraint.residue_name_4,yes
_nef_dihedral_restraint.atom_name_4,yes
_nef_dihedral_restraint.weight,yes
_nef_dihedral_restraint.target_value,no
_nef_dihedral_restraint.target_value_uncertainty,no
_nef_dihedral_restraint.lower_linear_limit,no
_nef_dihedral_restraint.lower_limit,no
_nef_dihedral_restraint.upper_limit,no
_nef_dihedral_restraint.upper_linear_limit,no
_nef_dihedral_restraint.name,no
_nef_rdc_restraint_list.sf_category,yes
_nef_rdc_restraint_list.sf_framecode,yes
_nef_rdc_restraint_list.potential_type,yes
_nef_rdc_restraint_list.restraint_origin,no
_nef_rdc_restraint_list.tensor_magnitude,no
_nef_rdc_restraint_list.tensor_rhombicity,no
_nef_rdc_restraint_list.tensor_chain_code,no
_nef_rdc_restraint_list.tensor_sequence_code,no
_nef_rdc_restraint_list.tensor_residue_name,no
_nef_rdc_restraint.index,yes
_nef_rdc_restraint.restraint_id,yes
_nef_rdc_restraint.restraint_combination_id,no
_nef_rdc_restraint.chain_code_1,yes
_nef_rdc_restraint.sequence_code_1,yes
_nef_rdc_restraint.residue_name_1,yes
_nef_rdc_restraint.atom_name_1,yes
_nef_rdc_restraint.chain_code_2,yes
_nef_rdc_restraint.sequence_code_2,yes
_nef_rdc_restraint.residue_name_2,yes
_nef_rdc_restraint.atom_name_2,yes
_nef_rdc_restraint.weight,yes
_nef_rdc_restraint.target_value,no
_nef_rdc_restraint.target_value_uncertainty,no
_nef_rdc_restraint.lower_linear_limit,no
_nef_rdc_restraint.lower_limit,no
_nef_rdc_restraint.upper_limit,no
_nef_rdc_restraint.upper_linear_limit,no
_nef_rdc_restraint.scale,no
_nef_rdc_restraint.distance_dependent,no
_nef_nmr_spectrum.sf_category,yes
_nef_nmr_spectrum.sf_framecode,yes
_nef_nmr_spectrum.num_dimensions,no
_nef_nmr_spectrum.chemical_shift_list,no
_nef_nmr_spectrum.experiment_classification,no
_nef_nmr_spectrum.experiment_type,no
_nef_spectrum_dimension.dimension_id,yes
_nef_spectrum_dimension.axis_unit,yes
_nef_spectrum_dimension.axis_code,yes
_nef_spectrum_dimension.spectrometer_frequency,no
_nef_spectrum_dimension.spectral_width,no
_nef_spectrum_dimension.value_first_point,no
_nef_spectrum_dimension.folding,no
_nef_spectrum_dimension.absolute_peak_positions,no
_nef_spectrum_dimension.is_acquisition,no
_nef_spectrum_dimension_transfer.dimension_1,yes
_nef_spectrum_dimension_transfer.dimension_2,yes
_nef_spectrum_dimension_transfer.transfer_type,yes
_nef_spectrum_dimension_transfer.is_indirect,no
_nef_peak.index,yes
_nef_peak.peak_id,yes
_nef_peak.volume,no
_nef_peak.volume_uncertainty,no
_nef_peak.height,no
_nef_peak.height_uncertainty,no
_nef_peak.position_1,no
_nef_peak.position_uncertainty_1,no
_nef_peak.position_2,no
_nef_peak.position_uncertainty_2,no
_nef_peak.position_3,no
_nef_peak.position_uncertainty_3,no
_nef_peak.position_4,no
_nef_peak.position_uncertainty_4,no
_nef_peak.position_5,no
_nef_peak.position_uncertainty_5,no
_nef_peak.position_6,no
_nef_peak.position_uncertainty_6,no
_nef_peak.position_7,no
_nef_peak.position_uncertainty_7,no
_nef_peak.position_8,no
_nef_peak.position_uncertainty_8,no
_nef_peak.position_9,no
_nef_peak.position_uncertainty_9,no
_nef_peak.position_10,no
_nef_peak.position_uncertainty_10,no
_nef_peak.position_11,no
_nef_peak.position_uncertainty_11,no
_nef_peak.position_12,no
_nef_peak.position_uncertainty_12,no
_nef_peak.position_13,no
_nef_peak.position_uncertainty_13,no
_nef_peak.position_14,no
_nef_peak.position_uncertainty_14,no
_nef_peak.position_15,no
_nef_peak.position_uncertainty_15,no
_nef_peak.chain_code_1,no
_nef_peak.sequence_code_1,no
_nef_peak.residue_name_1,no
_nef_peak.atom_name_1,no
_nef_peak.chain_code_2,no
_nef_peak.sequence_code_2,no
_nef_peak.residue_name_2,no
_nef_peak.atom_name_2,no
_nef_peak.chain_code_3,no
_nef_peak.sequence_code_3,no
_nef_peak.residue_name_3,no
_nef_peak.atom_name_3,no
_nef_peak.chain_code_4,no
_nef_peak.sequence_code_4,no
_nef_peak.residue_name_4,no
_nef_peak.atom_name_4,no
_nef_peak.chain_code_5,no
_nef_peak.sequence_code_5,no
_nef_peak.residue_name_5,no
_nef_peak.atom_name_5,no
_nef_peak.chain_code_6,no
_nef_peak.sequence_code_6,no
_nef_peak.residue_name_6,no
_nef_peak.atom_name_6,no
_nef_peak.chain_code_7,no
_nef_peak.sequence_code_7,no
_nef_peak.residue_name_7,no
_nef_peak.atom_name_7,no
_nef_peak.chain_code_8,no
_nef_peak.sequence_code_8,no
_nef_peak.residue_name_8,no
_nef_peak.atom_name_8,no
_nef_peak.chain_code_9,no
_nef_peak.sequence_code_9,no
_nef_peak.residue_name_9,no
_nef_peak.atom_name_9,no
_nef_peak.chain_code_10,no
_nef_peak.sequence_code_10,no
_nef_peak.residue_name_10,no
_nef_peak.atom_name_10,no
_nef_peak.chain_code_11,no
_nef_peak.sequence_code_11,no
_nef_peak.residue_name_11,no
_nef_peak.atom_name_11,no
_nef_peak.chain_code_12,no
_nef_peak.sequence_code_12,no
_nef_peak.residue_name_12,no
_nef_peak.atom_name_12,no
_nef_peak.chain_code_13,no
_nef_peak.sequence_code_13,no
_nef_peak.residue_name_13,no
_nef_peak.atom_name_13,no
_nef_peak.chain_code_14,no
_nef_peak.sequence_code_14,no
_nef_peak.residue_name_14,no
_nef_peak.atom_name_14,no
_nef_peak.chain_code_15,no
_nef_peak.sequence_code_15,no
_nef_peak.residue_name_15,no
_nef_peak.atom_name_15,no
_nef_peak_restraint_links.sf_category,yes
_nef_peak_restraint_links.sf_framecode,yes
_nef_peak_restraint_link.nmr_spectrum_id,yes
_nef_peak_restraint_link.peak_id,yes
_nef_peak_restraint_link.restraint_list_id,yes
_nef_peak_restraint_link.restraint_id,yes
_audit.revision_id,yes
_audit.creation_date,no
_audit.creation_method,no
_audit.update_record,no
